Start,Stop
12:30:20,12:30:51
12:31:48,12:30:55
12:33:12,12:33:26
12:33:10,12:33:50
12:33:43,12:34:15
12:34:35,12:35:05
12:33:59,12:34:44
12:34:52,12:35:09
12:36:23,12:36:52
12:35:20,12:35:59
12:37:45,12:38:01
12:36:12,12:36:46
12:36:57,12:37:22
12:38:37,12:39:05
12:38:32,12:39:15
12:39:49,12:40:34
12:40:05,12:40:32
12:41:10,12:41:30
12:42:34,12:43:35
12:43:10,12:43:25
12:44:13,12:44:37
12:44:05,12:44:17
12:44:49,12:45:06
12:45:58,12:46:11
12:47:19,12:47:49
12:47:48,12:48:03
12:48:23,12:48:43
12:48:56,12:50:45
12:49:35,12:50:21
12:50:55,12:51:27
12:50:22,12:50:48
12:51:01,12:51:11
12:51:58,12:52:28
12:52:50,12:53:14
12:55:31,12:55:51
12:56:16,12:56:26
12:56:32,12:57:08
12:58:03,12:58:21
12:58:44,12:59:15
